voltage,current,temperature,relativeTime
3.931,1.0,24.43228,1050.04
3.93,1.0,24.46339,1060.04
3.929,1.0,24.46339,1070.04
3.927,1.0,24.47894,1080.04
3.926,1.0,24.49449,1090.04
3.925,1.0,24.51005,1100.04
3.924,1.0,24.5256,1110.04
3.923,1.0,24.55671,1120.04
3.922,1.0,24.57226,1130.04
3.921,1.0,24.57226,1140.04
3.919,1.0,24.57226,1150.04
3.918,1.0,24.58781,1160.04
3.917,1.0,24.58781,1170.04
3.916,1.0,24.57226,1180.04
3.915,1.0,24.58781,1190.04
3.914,1.0,24.58781,1200.04
3.913,1.0,24.58781,1210.04
3.911,1.0,24.57226,1220.04
3.91,1.0,24.57226,1230.04
3.909,1.0,24.55671,1240.04
3.908,1.0,24.57226,1250.04
3.907,1.0,24.55671,1260.04
3.906,1.0,24.57226,1270.04
3.905,1.0,24.58781,1280.04
3.904,1.0,24.60337,1290.04
3.903,1.0,24.61892,1300.04
3.902,1.0,24.61892,1310.04
3.9,1.0,24.61892,1320.04
3.899,1.0,24.61892,1330.04
3.898,1.0,24.63448,1340.04
3.897,1.0,24.61892,1350.04
3.896,1.0,24.63448,1360.04
3.895,1.0,24.63448,1370.04
3.894,0.999,24.63448,1380.04
3.893,1.0,24.65003,1390.04
3.892,1.0,24.65003,1400.04
3.891,1.0,24.66558,1410.04
3.889,1.0,24.66558,1420.04
3.888,1.0,24.65003,1430.04
3.887,1.0,24.66558,1440.04
3.886,0.999,24.68114,1450.04
3.885,1.0,24.68114,1460.04
3.884,1.0,24.69669,1470.04
3.883,1.0,24.71224,1480.04
3.882,1.0,24.69669,1490.04
3.881,1.0,24.69669,1500.04
3.88,1.0,24.68114,1510.04
3.878,1.0,24.68114,1520.04
3.877,1.0,24.69669,1530.04
3.877,1.0,24.69669,1540.04
3.875,1.0,24.71224,1550.04
3.874,1.0,24.71224,1560.04
3.873,1.0,24.7278,1570.04
3.872,1.0,24.7278,1580.04
3.871,1.0,24.7278,1590.04
3.87,1.0,24.74335,1600.04
3.869,1.0,24.7589,1610.04
3.868,1.0,24.77446,1620.04
3.867,0.999,24.77446,1630.04
3.866,0.999,24.77446,1640.04
3.865,1.0,24.77446,1650.04
3.864,1.0,24.79001,1660.04
3.863,0.999,24.80556,1670.04
3.862,0.999,24.80556,1680.04
3.861,1.0,24.82112,1690.04
3.86,0.999,24.83667,1700.04
3.859,1.0,24.82112,1710.04
3.858,1.0,24.82112,1720.04
3.857,1.0,24.82112,1730.04
3.856,1.0,24.82112,1740.04
3.855,0.999,24.82112,1750.04
3.854,0.999,24.83667,1760.04
3.853,1.0,24.82112,1770.04
3.852,1.0,24.82112,1780.04
3.851,1.0,24.83667,1790.04
3.85,1.0,24.85222,1800.04
3.849,1.0,24.85222,1810.04
3.848,0.999,24.86778,1820.04
3.847,1.0,24.86778,1830.04
3.846,1.0,24.88333,1840.04
3.845,1.0,24.88333,1850.04
3.844,1.0,24.89889,1860.04
3.843,1.0,24.88333,1870.04
3.842,1.0,24.86778,1880.04
3.841,1.0,24.85222,1890.04
3.84,1.0,24.83667,1900.04
3.839,1.0,24.83667,1910.04
3.838,1.0,24.80556,1920.04
3.837,1.0,24.77446,1930.04
3.836,1.0,24.77446,1940.04
3.835,1.0,24.7589,1950.04
3.834,1.0,24.7589,1960.04
3.833,0.999,24.7589,1970.04
3.832,1.0,24.77446,1980.04
3.831,1.0,24.7589,1990.04
3.83,1.0,24.74335,2000.04
3.83,1.0,24.71224,2010.04
3.829,1.0,24.7278,2020.04
3.828,1.0,24.7278,2030.04
3.827,1.0,24.7278,2040.04
3.826,1.0,24.71224,2050.04
3.825,1.0,24.71224,2060.04
3.824,0.999,24.69669,2070.04
3.823,1.0,24.69669,2080.04
3.822,1.0,24.69669,2090.04
3.821,0.999,24.71224,2100.04
3.82,1.0,24.69669,2110.04
3.819,1.0,24.69669,2120.04
3.819,1.0,24.68114,2130.04
3.818,1.0,24.69669,2140.04
3.817,1.0,24.69669,2150.04
3.816,1.0,24.69669,2160.04
3.815,1.0,24.71224,2170.04
3.814,1.0,24.71224,2180.04
3.813,1.0,24.74335,2190.04
3.812,1.0,24.7589,2200.04
3.811,1.0,24.79001,2210.04
3.81,0.999,24.79001,2220.04
3.809,1.0,24.79001,2230.04
3.809,1.001,24.80556,2240.04
3.808,1.0,24.80556,2250.04
3.807,1.0,24.80556,2260.04
3.806,0.999,24.80556,2270.04
3.805,0.999,24.79001,2280.04
3.804,1.0,24.80556,2290.04
3.803,1.0,24.80556,2300.04
3.803,1.0,24.79001,2310.04
3.802,1.0,24.79001,2320.04
3.801,1.0,24.77446,2330.04
3.8,1.0,24.77446,2340.04
3.799,1.0,24.79001,2350.04
3.798,1.0,24.79001,2360.04
3.797,1.0,24.79001,2370.04
3.796,1.0,24.79001,2380.04
3.796,1.0,24.79001,2390.04
3.795,1.0,24.77446,2400.04
3.794,1.0,24.79001,2410.04
3.793,1.0,24.79001,2420.04
3.792,1.0,24.80556,2430.04
3.791,1.0,24.80556,2440.04
3.791,1.0,24.82112,2450.04
3.79,1.0,24.80556,2460.04
3.789,1.0,24.80556,2470.04
3.788,1.0,24.82112,2480.04
3.787,1.0,24.82112,2490.04
3.786,1.0,24.82112,2500.04
3.786,1.0,24.80556,2510.04
3.785,1.0,24.80556,2520.04
3.784,1.0,24.80556,2530.04
3.783,1.0,24.82112,2540.04
3.782,0.999,24.80556,2550.04
3.782,1.0,24.77446,2560.04
3.781,1.0,24.77446,2570.04
3.78,1.0,24.7589,2580.04
3.779,1.0,24.79001,2590.04
3.778,1.0,24.79001,2600.04
3.778,0.999,24.80556,2610.04
3.777,1.0,24.80556,2620.04
3.776,1.0,24.80556,2630.04
3.775,1.0,24.80556,2640.04
3.774,1.0,24.80556,2650.04
3.774,1.0,24.79001,2660.04
3.773,1.0,24.80556,2670.04
3.772,1.0,24.80556,2680.04
3.771,1.0,24.79001,2690.04
3.77,1.0,24.79001,2700.04
3.77,1.0,24.79001,2710.04
3.769,1.0,24.79001,2720.04
3.768,0.999,24.79001,2730.04
3.767,1.0,24.77446,2740.04
3.767,1.0,24.77446,2750.04
3.766,1.0,24.77446,2760.04
3.765,1.0,24.79001,2770.04
3.764,1.0,24.79001,2780.04
3.764,1.0,24.77446,2790.04
3.763,1.0,24.77446,2800.04
3.762,1.0,24.79001,2810.04
3.761,1.0,24.77446,2820.04
3.761,1.0,24.80556,2830.04
3.76,1.0,24.80556,2840.04
3.759,1.0,24.82112,2850.04
3.758,1.0,24.82112,2860.04
3.758,1.001,24.82112,2870.04
3.757,1.0,24.80556,2880.04
3.756,1.0,24.80556,2890.04
3.755,1.0,24.79001,2900.04
3.755,1.0,24.80556,2910.04
3.754,1.0,24.79001,2920.04
3.753,0.999,24.79001,2930.04
3.753,1.0,24.79001,2940.04
3.752,1.0,24.77446,2950.04
3.751,1.0,24.77446,2960.04
3.75,0.999,24.77446,2970.04
3.75,1.0,24.77446,2980.04
3.749,1.0,24.79001,2990.04
3.748,1.0,24.77446,3000.04
3.748,1.0,24.77446,3010.04
3.747,1.0,24.77446,3020.04
3.746,1.0,24.7589,3030.04
3.745,1.0,24.7589,3040.04
3.745,1.0,24.77446,3050.04
3.744,0.999,24.77446,3060.04
3.743,0.999,24.79001,3070.04
3.743,1.0,24.82112,3080.04
3.742,1.0,24.83667,3090.04
3.741,0.999,24.86778,3100.04
3.741,0.999,24.88333,3110.04
3.74,1.0,24.89889,3120.04
3.739,0.999,24.91444,3130.04
3.738,1.0,24.92999,3140.04
3.738,1.0,24.94555,3150.04
3.737,1.0,24.94555,3160.04
3.736,0.999,24.9611,3170.04
3.736,1.0,24.97665,3180.04
3.735,1.0,24.97665,3190.04
3.734,1.0,24.99221,3200.04
3.734,1.0,24.99221,3210.04
3.733,1.0,24.99221,3220.04
3.733,1.0,24.99221,3230.04
3.732,0.999,25.00776,3240.04
3.731,1.0,24.99221,3250.04
3.731,1.0,25.00776,3260.04
3.73,1.0,24.99221,3270.04
3.729,1.0,24.99221,3280.04
3.728,0.999,25.00776,3290.04
3.728,1.0,25.02332,3300.04
3.727,1.0,25.00776,3310.04
3.727,1.0,25.00776,3320.04
3.726,1.0,25.02332,3330.04
3.725,1.0,25.02332,3340.04
3.725,1.0,25.00776,3350.04
3.724,1.0,24.99221,3360.04
3.723,1.001,24.99221,3370.04
3.723,1.0,24.99221,3380.04
3.722,1.0,24.99221,3390.04
3.722,1.0,25.00776,3400.04
3.721,1.0,25.00776,3410.04
3.72,1.0,25.02332,3420.04
3.72,1.0,25.00776,3430.04
3.719,0.999,24.97665,3440.04
3.718,0.999,24.99221,3450.04
3.718,1.0,24.97665,3460.04
3.717,1.0,24.9611,3470.04
3.717,1.0,24.97665,3480.04
3.716,1.0,24.97665,3490.04
3.715,1.0,25.00776,3500.04
3.715,1.0,25.00776,3510.04
3.714,1.0,25.02332,3520.04
3.714,1.0,25.02332,3530.04
3.713,0.999,25.00776,3540.04
3.712,1.0,24.99221,3550.04
3.712,1.0,25.00776,3560.04
3.711,1.0,25.00776,3570.04
3.711,1.0,25.00776,3580.04
3.71,0.999,25.02332,3590.04
3.709,1.001,25.02332,3600.04
3.709,1.0,25.02332,3610.04
3.708,1.0,25.03887,3620.04
3.708,1.0,25.02332,3630.04
3.707,1.0,25.02332,3640.04
3.707,0.999,25.02332,3650.04
3.706,0.999,25.02332,3660.04
3.705,1.0,25.02332,3670.04
3.705,0.999,25.03887,3680.04
3.704,0.999,25.02332,3690.04
3.704,1.001,25.02332,3700.04
3.703,1.0,25.00776,3710.04
3.703,1.0,24.99221,3720.04
3.702,1.0,25.00776,3730.04
3.701,1.0,25.00776,3740.04
3.701,1.0,25.02332,3750.04
3.7,0.999,25.00776,3760.04
3.7,1.0,25.02332,3770.04
3.699,1.001,25.00776,3780.04
3.698,1.0,25.02332,3790.04
3.698,1.0,25.02332,3800.04
3.697,0.999,25.03887,3810.04
3.697,1.0,25.02332,3820.04
3.696,1.0,25.02332,3830.04
3.696,1.0,25.02332,3840.04
3.695,1.0,25.02332,3850.04
3.695,1.0,25.02332,3860.04
3.694,1.0,25.02332,3870.04
3.694,0.999,25.03887,3880.04
3.693,1.0,25.03887,3890.04
3.692,0.999,25.03887,3900.04
3.692,1.0,25.03887,3910.04
3.691,1.0,25.02332,3920.04
3.691,1.0,25.03887,3930.04
3.69,1.0,25.05442,3940.04
3.69,0.999,25.05442,3950.04
3.689,1.0,25.06997,3960.04
3.689,1.0,25.06997,3970.04
3.688,1.0,25.06997,3980.04
3.688,1.0,25.08553,3990.04
3.687,0.999,25.08553,4000.04
3.687,1.0,25.08553,4010.04
3.686,1.0,25.06997,4020.04
3.686,1.0,25.05442,4030.04
3.685,1.0,25.02332,4040.04
3.685,1.0,25.02332,4050.04
3.684,1.0,25.02332,4060.04
3.684,0.999,25.02332,4070.04
3.683,1.0,25.00776,4080.04
3.683,0.999,24.97665,4090.04
3.682,1.0,24.97665,4100.04
3.682,0.999,24.97665,4110.04
3.681,1.0,24.9611,4120.04
3.681,1.0,24.9611,4130.04
3.68,1.0,24.94555,4140.04
3.679,1.0,24.94555,4150.04
3.679,0.999,24.94555,4160.04
3.678,1.0,24.94555,4170.04
3.678,1.0,24.94555,4180.04
3.678,1.0,24.94555,4190.04
3.677,1.0,24.91444,4200.04
3.677,0.999,24.91444,4210.04
3.676,1.0,24.91444,4220.04
3.676,1.0,24.89889,4230.04
3.675,0.999,24.89889,4240.04
3.675,1.0,24.89889,4250.04
3.674,1.0,24.89889,4260.04
3.674,1.0,24.89889,4270.04
3.673,1.0,24.89889,4280.04
3.673,1.0,24.89889,4290.04
3.672,1.0,24.91444,4300.04
3.672,1.0,24.91444,4310.04
3.671,1.0,24.91444,4320.04
3.671,1.0,24.89889,4330.04
3.67,1.0,24.91444,4340.04
3.67,1.0,24.89889,4350.04
3.669,1.0,24.89889,4360.04
3.669,1.0,24.89889,4370.04
3.668,1.0,24.89889,4380.04
3.668,1.0,24.89889,4390.04
3.668,1.0,24.89889,4400.04
3.667,0.999,24.89889,4410.04
3.666,1.0,24.91444,4420.04
3.666,1.0,24.91444,4430.04
3.666,1.0,24.91444,4440.04
3.665,1.0,24.91444,4450.04
3.665,1.0,24.91444,4460.04
3.664,1.0,24.89889,4470.04
3.664,1.0,24.91444,4480.04
3.664,1.0,24.91444,4490.04
3.663,1.0,24.91444,4500.04
3.663,1.0,24.91444,4510.04
3.662,1.0,24.92999,4520.04
3.662,1.0,24.92999,4530.04
3.661,1.0,24.92999,4540.04
3.661,1.0,24.92999,4550.04
3.66,1.0,24.92999,4560.04
3.66,1.0,24.94555,4570.04
3.66,1.0,24.94555,4580.04
3.659,1.0,24.92999,4590.04
3.659,0.999,24.94555,4600.04
3.658,1.0,24.94555,4610.04
3.658,1.0,24.9611,4620.04
3.658,0.999,24.94555,4630.04
3.657,0.999,24.94555,4640.04
3.657,1.0,24.94555,4650.04
3.656,1.0,24.94555,4660.04
3.656,1.0,24.92999,4670.04
3.655,1.0,24.91444,4680.04
3.655,1.0,24.89889,4690.04
3.654,1.0,24.89889,4700.04
3.654,1.0,24.89889,4710.04
3.654,0.999,24.91444,4720.04
3.653,0.999,24.92999,4730.04
3.653,1.0,24.92999,4740.04
3.652,1.0,24.94555,4750.04
3.652,1.0,24.9611,4760.04
3.652,1.0,24.9611,4770.04
3.651,1.0,24.9611,4780.04
3.651,1.0,24.94555,4790.04
3.651,0.999,24.92999,4800.04
3.65,1.0,24.94555,4810.04
3.65,1.0,24.94555,4820.04
3.649,1.0,24.94555,4830.04
3.649,1.0,24.94555,4840.04
3.649,1.0,24.94555,4850.04
3.648,1.0,24.92999,4860.04
3.648,1.0,24.92999,4870.04
3.648,1.0,24.91444,4880.04
3.647,1.0,24.92999,4890.04
3.647,1.0,24.91444,4900.04
3.646,1.0,24.91444,4910.04
3.646,1.0,24.92999,4920.04
3.646,1.0,24.92999,4930.04
3.645,1.0,24.94555,4940.04
3.645,1.0,24.94555,4950.04
3.645,1.0,24.9611,4960.04
3.644,1.0,24.9611,4970.04
3.644,1.0,24.94555,4980.04
3.643,1.0,24.94555,4990.04
3.643,1.0,24.92999,5000.04
3.642,1.0,24.92999,5010.04
3.642,1.0,24.91444,5020.04
3.642,0.999,24.92999,5030.04
3.641,1.0,24.94555,5040.04
3.641,0.999,24.97665,5050.04
3.641,1.0,24.99221,5060.04
3.64,1.0,24.97665,5070.04
3.64,1.0,24.97665,5080.04
3.64,1.0,24.97665,5090.04
3.639,0.999,24.9611,5100.04
3.639,0.999,24.9611,5110.04
3.639,1.0,24.97665,5120.04
3.638,1.001,24.99221,5130.04
3.638,1.0,25.00776,5140.04
3.637,1.001,25.02332,5150.04
3.637,1.0,25.06997,5160.04
3.637,0.999,25.08553,5170.04
3.636,1.0,25.11664,5180.04
3.636,1.0,25.11664,5190.04
3.636,1.0,25.11664,5200.04
3.635,1.0,25.13219,5210.04
3.635,1.0,25.14774,5220.04
3.635,1.0,25.1633,5230.04
3.634,1.001,25.17885,5240.04
3.634,1.0,25.17885,5250.04
3.634,1.0,25.1944,5260.04
3.633,1.0,25.1944,5270.04
3.633,0.999,25.20996,5280.04
3.632,1.0,25.1944,5290.04
3.632,1.0,25.20996,5300.04
3.632,0.999,25.22551,5310.04
3.631,1.001,25.22551,5320.04
3.631,1.0,25.24106,5330.04
3.631,1.0,25.24106,5340.04
3.63,1.0,25.24106,5350.04
3.63,1.0,25.22551,5360.04
3.629,1.0,25.24106,5370.04
3.629,1.0,25.24106,5380.04
3.629,0.999,25.24106,5390.04
3.628,1.0,25.24106,5400.04
3.628,1.0,25.24106,5410.04
3.628,0.999,25.24106,5420.04
3.627,1.0,25.25662,5430.04
3.627,1.001,25.27217,5440.04
3.627,1.0,25.25662,5450.04
3.626,1.0,25.25662,5460.04
3.626,1.0,25.27217,5470.04
3.626,1.0,25.27217,5480.04
3.625,1.0,25.27217,5490.04
3.625,1.001,25.30328,5500.04
3.625,1.0,25.30328,5510.04
3.624,1.0,25.28772,5520.04
3.624,1.0,25.27217,5530.04
3.623,1.0,25.24106,5540.04
3.623,1.0,25.22551,5550.04
3.623,1.0,25.22551,5560.04
3.622,1.0,25.22551,5570.04
3.622,0.999,25.24106,5580.04
3.621,1.0,25.24106,5590.04
3.621,1.0,25.24106,5600.04
3.621,0.999,25.24106,5610.04
3.62,1.0,25.22551,5620.04
3.62,1.0,25.20996,5630.04
3.62,1.0,25.20996,5640.04
3.619,1.0,25.22551,5650.04
3.619,0.999,25.24106,5660.04
3.618,1.0,25.25662,5670.04
3.618,1.0,25.25662,5680.04
3.618,1.0,25.27217,5690.04
3.617,1.0,25.28772,5700.04
3.617,1.0,25.30328,5710.04
3.616,1.0,25.28772,5720.04
3.616,1.0,25.27217,5730.04
3.616,1.0,25.30328,5740.04
3.615,1.0,25.30328,5750.04
3.615,1.0,25.31883,5760.04
3.614,1.0,25.33439,5770.04
3.614,1.0,25.34994,5780.04
3.613,1.0,25.34994,5790.04
3.613,1.0,25.36549,5800.04
3.613,1.0,25.38105,5810.04
3.612,1.0,25.3966,5820.04
3.612,1.0,25.41216,5830.04
3.611,1.0,25.42771,5840.04
3.611,1.0,25.42771,5850.04
3.611,1.001,25.44326,5860.04
3.61,1.0,25.45881,5870.04
3.61,1.0,25.47437,5880.04
3.609,1.0,25.47437,5890.04
3.609,1.0,25.47437,5900.04
3.608,1.0,25.47437,5910.04
3.608,1.0,25.48992,5920.04
3.607,1.0,25.48992,5930.04
3.607,1.0,25.48992,5940.04
3.606,0.999,25.48992,5950.04
3.606,1.0,25.50548,5960.04
3.605,1.0,25.50548,5970.04
3.605,0.999,25.50548,5980.04
3.604,1.0,25.50548,5990.04
3.604,1.0,25.52103,6000.04
3.603,1.0,25.52103,6010.04
3.603,1.0,25.53658,6020.04
3.602,1.0,25.52103,6030.04
3.602,1.0,25.53658,6040.04
3.601,1.0,25.53658,6050.04
3.601,1.0,25.56769,6060.04
3.6,1.0,25.55214,6070.04
3.6,1.0,25.56769,6080.04
3.599,0.999,25.58324,6090.04
3.599,0.999,25.59879,6100.04
3.598,1.0,25.62991,6110.04
3.597,1.0,25.64546,6120.04
3.597,1.0,25.64546,6130.04
3.596,1.0,25.66101,6140.04
3.596,0.999,25.64546,6150.04
3.595,1.0,25.66101,6160.04
3.594,1.0,25.67657,6170.04
3.594,1.0,25.67657,6180.04
3.594,1.0,25.67657,6190.04
3.593,1.0,25.70767,6200.04
3.592,1.0,25.70767,6210.04
3.592,1.0,25.72323,6220.04
3.591,0.999,25.75433,6230.04
3.591,1.0,25.75433,6240.04
3.59,1.0,25.76989,6250.04
3.589,0.999,25.81655,6260.04
3.589,1.0,25.8321,6270.04
3.588,1.0,25.86321,6280.04
3.588,1.0,25.86321,6290.04
3.587,1.0,25.84765,6300.04
3.587,1.0,25.87876,6310.04
3.586,0.999,25.89431,6320.04
3.586,1.0,25.90987,6330.04
3.585,0.999,25.90987,6340.04
3.584,1.0,25.90987,6350.04
3.584,1.0,25.90987,6360.04
3.583,1.0,25.92542,6370.04
3.582,1.0,25.95653,6380.04
3.582,1.0,25.95653,6390.04
3.581,1.0,25.95653,6400.04
3.581,1.001,25.94098,6410.04
3.58,1.0,25.94098,6420.04
3.58,1.0,25.95653,6430.04
3.579,1.0,25.95653,6440.04
3.579,1.0,25.97208,6450.04
3.578,0.999,25.97208,6460.04
3.577,1.0,25.95653,6470.04
3.577,1.0,25.98764,6480.04
3.576,1.0,26.00319,6490.04
3.575,1.001,26.01875,6500.04
3.575,1.0,26.0343,6510.04
3.575,1.0,26.0343,6520.04
3.574,1.0,26.04985,6530.04
3.573,1.0,26.0654,6540.04
3.573,1.0,26.08096,6550.04
3.572,0.999,26.08096,6560.04
3.571,1.0,26.09651,6570.04
3.571,1.0,26.09651,6580.04
3.57,1.0,26.11207,6590.04
3.57,1.0,26.09651,6600.04
3.569,1.0,26.09651,6610.04
3.568,0.999,26.09651,6620.04
3.568,1.0,26.11207,6630.04
3.567,1.0,26.12762,6640.04
3.566,1.0,26.15873,6650.04
3.566,1.0,26.17428,6660.04
3.565,1.0,26.17428,6670.04
3.565,1.0,26.15873,6680.04
3.564,1.0,26.15873,6690.04
3.563,1.0,26.18983,6700.04
3.563,1.0,26.20539,6710.04
3.562,0.999,26.22094,6720.04
3.561,1.0,26.23649,6730.04
3.56,1.0,26.23649,6740.04
3.56,1.0,26.23649,6750.04
3.559,0.999,26.23649,6760.04
3.558,1.0,26.2676,6770.04
3.557,1.0,26.2676,6780.04
3.556,1.0,26.28315,6790.04
3.556,1.0,26.25205,6800.04
3.555,1.0,26.25205,6810.04
3.554,1.0,26.25205,6820.04
3.553,1.0,26.25205,6830.04
3.552,1.0,26.23649,6840.04
3.551,1.0,26.22094,6850.04
3.55,1.0,26.22094,6860.04
3.55,1.0,26.22094,6870.04
3.548,1.0,26.20539,6880.04
3.547,1.0,26.20539,6890.04
3.547,1.0,26.20539,6900.04
3.545,1.0,26.20539,6910.04
3.544,1.0,26.20539,6920.04
3.543,1.0,26.20539,6930.04
3.542,1.0,26.20539,6940.04
3.541,1.0,26.22094,6950.04
3.54,1.0,26.20539,6960.04
3.538,1.0,26.18983,6970.04
3.537,1.0,26.17428,6980.04
3.536,1.0,26.15873,6990.04
3.535,0.999,26.18983,7000.04
3.533,1.0,25.87876,7010.04
3.532,1.001,25.92542,7020.04
3.53,0.999,25.94098,7030.04
3.529,1.0,25.95653,7040.04
3.527,1.0,25.95653,7050.04
3.526,1.0,25.95653,7060.04
3.524,1.0,25.94098,7070.04
3.522,1.0,25.95653,7080.04
3.52,1.0,25.95653,7090.04
3.519,1.0,25.97208,7100.04
3.517,0.999,25.97208,7110.04
3.515,1.0,25.97208,7120.04
3.513,1.0,25.98764,7130.04
3.51,1.0,25.98764,7140.04
3.509,0.999,25.98764,7150.04
3.506,1.0,25.95653,7160.04
3.504,1.0,25.95653,7170.04
3.501,1.001,25.95653,7180.04
3.499,1.0,25.95653,7190.04
3.496,1.0,25.97208,7200.04
3.493,1.0,26.01875,7210.04
3.49,1.0,26.01875,7220.04
3.487,1.0,26.0343,7230.04
3.483,1.0,26.04985,7240.04
3.48,1.0,26.08096,7250.04
3.476,1.0,26.08096,7260.04
3.472,1.0,26.0654,7270.04
3.468,1.0,26.08096,7280.04
3.464,1.0,26.08096,7290.04
3.459,1.0,26.0654,7300.04
3.454,1.0,26.09651,7310.04
3.449,1.0,26.15873,7320.04
3.444,0.999,26.15873,7330.04
3.438,1.0,26.15873,7340.04
3.432,1.0,26.14317,7350.04
3.425,1.0,26.17428,7360.04
3.418,1.0,26.18983,7370.04
3.411,1.0,26.20539,7380.04
3.403,1.0,26.20539,7390.04
3.395,1.0,26.22094,7400.04
3.386,1.0,26.23649,7410.04
3.377,1.0,26.23649,7420.04
3.367,1.0,26.23649,7430.04
3.357,1.0,26.20539,7440.04
3.346,1.001,26.20539,7450.04
3.334,0.999,26.22094,7460.04
3.322,1.0,26.23649,7470.04
3.309,1.0,26.25205,7480.04
3.295,1.0,26.25205,7490.04
3.279,1.0,26.28315,7500.04
3.263,1.0,26.28315,7510.04
3.246,1.0,26.28315,7520.04
3.227,1.0,26.32982,7530.04
3.206,1.0,26.36092,7540.04
3.2,1.0,26.36092,7542.95
